SMILES,Binary_Activity,QED
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0,0.517854527865434
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0,0.38941616262964607
Cc1cccc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)C(C)C2)c1,0,0.5882005223348308
Cc1ccc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)CC2)cc1C,0,0.588136639106314
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1,0.4058424794083466
N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1,1,0.5941454014173723
FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCCCC4)cn23)c1,1,0.701472089785194
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1,0.4058424794083466
N#Cc1c(-c2ccccc2)cc(-c2cc(Br)ccc2O)[nH]c1=O,1,0.7175364782040103
NCCCCNc1cncc(-c2cccc(/C=C/C(=O)O)c2)n1,1,0.5108864920247929
CN1CCCN(c2cccc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1,1,0.8694019561979257
CN1CCCN(c2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1,1,0.8634138767670326
N[C@H]1CC[C@H](Nc2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1,1,0.7247087594282855
O=C(O)c1ccc(-c2cnc3ccc(NCC4CC4)nn23)cc1,1,0.7573373567475218
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,0,0.7283788950081733
O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(Cl)cc12,1,0.754018198026334
CN(C)Cc1nc2c(sc3ccc(-c4ccc(O)c(F)c4)cc32)c(=O)[nH]1,1,0.5775940813507775
CCc1ccc(-c2ccc3sc4c(=O)[nH]c(CN(C)C)nc4c3c2)cc1,1,0.5834746227401559
CCc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1,1,0.8055655239991268
CN(C)CCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1,1,0.8091917801211188
CN(C)Cc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1,1,0.7902495943024128
O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(-c3ccccc3)cc12,1,0.5743380281196172
CN(C)Cc1nc2c(sc3ccc(-c4ccc[nH]4)cc32)c(=O)[nH]1,1,0.6081116403542478
CN(C)Cc1nc2c(sc3ccc(-c4ccoc4)cc32)c(=O)[nH]1,1,0.6264442876601499
CNCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1,1,0.7577506835121889
CN(C)CC#Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1,1,0.742198178204869
Cc1ccccc1-c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1,1,0.6036629512131487
O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(-c3ccccc3)cc12,1,0.3918092979590779
O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(-c3ccsc3)cc12,1,0.568660937062325
CN(C)Cc1nc2c(sc3ccc(-c4cncnc4)cc32)c(=O)[nH]1,1,0.621947778568701
CN(C)CCCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1,1,0.8019069840396698
CC(c1ccccc1)c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1,1,0.5862904458705875
N#Cc1ccc(-c2ccc3sc4c(=O)[nH]c(CN5CC[C@H](O)C5)nc4c3c2)cc1,1,0.5487476460322827
