"SMILES","Binary_Activity"
"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4",1
"N#Cc1c(-c2ccccc2)cc(-c2cc(Br)ccc2O)[nH]c1=O",1
"NCCCCNc1cncc(-c2cccc(/C=C/C(=O)O)c2)n1",1
"CN1CCCN(c2cccc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1",1
"CN1CCCN(c2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1",1
"N[C@H]1CC[C@H](Nc2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1",1
"O=C(O)c1ccc(-c2cnc3ccc(NCC4CC4)nn23)cc1",1
"O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12",0
"O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(O)c(F)c4)cc32)c(=O)[nH]1",1
"CCc1ccc(-c2ccc3sc4c(=O)[nH]c(CN(C)C)nc4c3c2)cc1",1
"CCc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"CN(C)CCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(-c3ccccc3)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc[nH]4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccoc4)cc32)c(=O)[nH]1",1
"CNCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"CN(C)CC#Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"Cc1ccccc1-c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(-c3ccccc3)cc12",1
"O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(-c3ccsc3)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4cncnc4)cc32)c(=O)[nH]1",1
"CN(C)CCCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"CC(c1ccccc1)c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"N#Cc1ccc(-c2ccc3sc4c(=O)[nH]c(CN5CC[C@H](O)C5)nc4c3c2)cc1",1
"O=c1[nH]c(CN2CCCNC2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(/C=C/C3CC3)cc12",1
"C=Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"O=c1[nH]c(CN2CCC(O)CC2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CNc2ccccc2O)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(COc2cccc(O)c2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CN2CCCCC2)nc2c1sc1ccc(Cl)cc12",1
"COc1cccc(NCc2nc3c(sc4ccc(Cl)cc43)c(=O)[nH]2)c1",1
"O=c1[nH]c(CNc2cc(O)cc(O)c2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(C#N)cc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cccc(F)c4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cccc(OC(F)(F)F)c4)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CNCCc2ccccc2)nc2c1sc1ccc(Br)cc12",1
"O=c1[nH]c(CNc2ccc(O)cc2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(N4CCCC4)cc32)c(=O)[nH]1",1
"C#Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(N)cc4)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CN2CC[C@@H](O)C2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(OC(F)(F)F)cc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(N(C)C)cc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccsc4)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(-c3ccsc3)cc12",1
"Cc1ccc(NCc2nc3c(sc4ccc(Cl)cc43)c(=O)[nH]2)cc1O",1
"CN(C)Cc1nc2c(sc3ccc(-c4cccnc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(OCC(O)CO)cc4)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CNc2ccccc2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(Br)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cc(Cl)cc(Cl)c4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(Cl)c(F)c4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(/C=C/C4CC4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(OCCCN)cc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(C#CCCCCN4CCCCC4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cccc(Cl)c4)cc32)c(=O)[nH]1",1
"Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(-c3ccc(O)cc3)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccccc4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cc(F)cc(Cl)c4)cc32)c(=O)[nH]1",1
"CN(C)Cc1nc2c(sc3ccc(C(F)(F)F)cc32)c(=O)[nH]1",1
"Cc1c(O)cccc1NCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1",1
"CC(C)c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"CN(C)Cc1nc2c(sc3ccc(-c4cccc(O)c4)cc32)c(=O)[nH]1",1
"O=c1[nH]c(CNCCc2cccc(O)c2)nc2c1sc1ccc(Cl)cc12",1
"O=c1[nH]c(CNc2cccc(O)c2)nc2c1sc1ccc(Br)cc12",1
"Cc1cscc1-c1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1",1
"O=c1[nH]c(CN2CCCC(O)C2)nc2c1sc1ccc(Cl)cc12",1
"CN(C)Cc1nc2c(sc3ccc(-c4ccc(O)cc4)cc32)c(=O)[nH]1",1
"CCN1/C(=C/C(C)=O)Sc2ccc(OC)cc21",1
"C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O",1
"CCNC(=O)NCc1ccccc1-c1cc(-c2cnc(NC(C)C)s2)nc(NCCN(C)C)n1",0
"CC1Cc2nc3cc4cn[nH]c4cc3nc2C1C",0
"c1ccc(C2Cc3nc4cc5cn[nH]c5cc4nc3C2)cc1",0
"O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12",0
"COc1cc(Br)cc2cc(C#N)oc12",0
"CCCNC1=N/C(=C\c2ccc(Br)cc2)C(=O)N1C",0
